"","x"
"9",1
"10",0
"12",0
"17",0
"22",0
"29",1
"35",0
"38",0
"39",0
"42",1
"48",0
"54",0
"58",0
"59",0
"60",1
"62",0
"63",0
"80",0
"86",0
"92",0
"94",0
"110",0
"111",0
"116",0
"122",1
"124",0
"137",1
"144",0
"153",0
"154",0
"159",0
"174",0
"175",0
"179",0
"183",0
"185",0
"191",0
"192",0
"196",0
"197",0
"203",0
"211",0
"216",0
"218",0
"219",0
"221",0
"227",0
"237",0
"240",0
"244",1
"251",0
"252",0
"253",0
"257",0
"258",0
"259",0
"261",1
"262",1
"264",0
"265",0
"277",0
"287",1
"294",0
"298",1
"299",1
"302",0
"306",0
"313",0
"319",0
"321",0
"322",0
"324",0
"335",0
"341",1
"342",1
"343",0
"344",0
"353",0
"358",0
"372",0
"375",0
"377",0
"384",1
"386",0
"388",0
"396",0
"404",0
"417",0
"419",0
"427",0
"434",0
"438",0
"439",1
"441",0
"443",0
"446",0
"452",0
"457",0
"463",0
"465",1
"483",0
"486",1
"491",0
"502",1
"505",0
"506",0
"514",0
"520",0
"521",0
"523",0
"540",0
"544",0
"552",0
"553",1
"566",0
"567",0
"569",0
"573",0
"577",1
"578",0
"579",0
"580",0
"583",0
"586",0
"591",1
"596",0
"599",0
"602",0
"608",0
"617",0
"635",0
"638",0
"643",0
"644",1
"648",0
"650",1
"667",0
"679",0
"684",0
"688",0
"700",0
"703",0
"714",0
"721",0
"725",0
"739",0
"744",0
"751",1
"756",0
"765",0
"775",0
"780",0
"782",0
"783",0
"785",0
"788",0
"792",0
"794",0
"795",0
"802",0
"804",1
"807",0
"813",0
"821",0
"829",0
"846",0
"848",0
"849",0
"852",0
"859",0
"860",0
"865",0
"866",0
"867",0
